Datetime,Open Time,Open,High,Low,Close,Volume,Close Time,Quote asset volume,Number of Trades,Taker Volume,Maker Volume,Nothing,Date
2024-06-24 08:20:00,1719217200000,124.86,125.69,124.85,125.57,15871.24000000,1719217499999,1988041.71390000,3030,12166.66400000,1523756.05753000,0,1719217200000
2024-06-24 08:25:00,1719217500000,125.57,125.6,125.23,125.58,8429.67500000,1719217799999,1057335.73532000,2166,4866.35900000,610359.68207000,0,1719217500000
2024-06-24 08:30:00,1719217800000,125.59,126.07,125.49,126.03,16789.48800000,1719218099999,2114083.01107000,3055,10232.85600000,1288392.91457000,0,1719217800000
2024-06-24 08:35:00,1719218100000,126.02,126.79,125.94,126.47,30167.16300000,1719218399999,3813797.33490000,4988,15380.77100000,1944438.04655000,0,1719218100000
2024-06-24 08:40:00,1719218400000,126.48,126.63,126.11,126.22,26227.93100000,1719218699999,3315189.51790000,4017,14409.78400000,1821692.70148000,0,1719218400000
2024-06-24 08:45:00,1719218700000,126.22,126.5,126.1,126.33,10350.35300000,1719218999999,1307431.91839000,2160,4839.75600000,611289.36083000,0,1719218700000
2024-06-24 08:50:00,1719219000000,126.33,126.39,125.63,125.66,10143.03200000,1719219299999,1278876.13375000,2438,3349.26100000,422217.91606000,0,1719219000000
2024-06-24 08:55:00,1719219300000,125.67,126.0,125.49,125.94,23444.54400000,1719219599999,2946717.17922000,2407,14680.45100000,1844901.65317000,0,1719219300000
2024-06-24 09:00:00,1719219600000,125.94,126.13,125.57,125.61,20768.17100000,1719219899999,2612948.93247000,2948,7227.96500000,909243.89424000,0,1719219600000
2024-06-24 09:05:00,1719219900000,125.6,125.61,124.95,125.34,11642.13100000,1719220199999,1458183.87941000,2777,5182.44000000,649035.05065000,0,1719219900000
2024-06-24 09:10:00,1719220200000,125.34,125.53,125.26,125.49,6736.19100000,1719220499999,844808.67903000,1694,4647.74800000,582901.18150000,0,1719220200000
2024-06-24 09:15:00,1719220500000,125.49,125.54,125.35,125.49,9560.23400000,1719220799999,1199330.75858000,1434,6456.90900000,810029.89447000,0,1719220500000
2024-06-24 09:20:00,1719220800000,125.49,125.52,125.0,125.12,22363.73500000,1719221099999,2801315.94146000,2492,7407.62600000,928112.38129000,0,1719220800000
2024-06-24 09:25:00,1719221100000,125.12,125.25,124.74,124.91,19837.93000000,1719221399999,2478037.41389000,3087,10052.62000000,1255650.50442000,0,1719221100000
2024-06-24 09:30:00,1719221400000,124.92,124.92,122.0,123.97,161451.76200000,1719221699999,19954100.04934000,21896,63535.14800000,7859598.35682000,0,1719221400000
2024-06-24 09:35:00,1719221700000,123.97,124.79,123.3,124.47,101297.25500000,1719221999999,12571452.80880000,14314,52639.29500000,6533370.91266000,0,1719221700000
2024-06-24 09:40:00,1719222000000,124.47,125.05,124.06,124.48,44514.91500000,1719222299999,5544979.74686000,6987,24434.55700000,3044258.14316000,0,1719222000000
2024-06-24 09:45:00,1719222300000,124.49,125.86,124.47,125.37,48331.42300000,1719222599999,6054906.80865000,8637,27053.20000000,3388891.45799000,0,1719222300000
2024-06-24 09:50:00,1719222600000,125.37,126.2,125.0,126.11,36636.30800000,1719222899999,4600023.38158000,6482,21940.00500000,2756262.56723000,0,1719222600000
2024-06-24 09:55:00,1719222900000,126.12,126.6,126.02,126.15,72510.83400000,1719223199999,9157294.87367000,7959,36900.29500000,4660394.10665000,0,1719222900000
2024-06-24 10:00:00,1719223200000,126.15,126.9,125.97,126.8,46827.31600000,1719223499999,5922757.69313000,6046,22390.14500000,2832772.10200000,0,1719223200000
2024-06-24 10:05:00,1719223500000,126.79,127.32,126.36,127.24,44103.12700000,1719223799999,5596963.84757000,6687,24425.74900000,3100627.88695000,0,1719223500000
2024-06-24 10:10:00,1719223800000,127.23,127.39,126.55,126.82,23735.88900000,1719224099999,3012701.94537000,4112,13182.18000000,1673559.11591000,0,1719223800000
2024-06-24 10:15:00,1719224100000,126.81,127.5,126.74,126.81,25218.11500000,1719224399999,3205705.98863000,4602,14178.05900000,1802200.42019000,0,1719224100000
2024-06-24 10:20:00,1719224400000,126.82,126.82,126.25,126.39,16986.04100000,1719224699999,2148049.66041000,3386,6514.69600000,823622.17979000,0,1719224400000
2024-06-24 10:25:00,1719224700000,126.39,127.27,126.33,127.05,13792.86400000,1719224999999,1750815.56672000,2613,8556.07200000,1086225.69281000,0,1719224700000
2024-06-24 10:30:00,1719225000000,127.06,127.32,126.88,127.01,19570.88800000,1719225299999,2486521.63370000,3551,9568.01300000,1215687.16827000,0,1719225000000
2024-06-24 10:35:00,1719225300000,127.02,127.37,126.91,127.01,13245.58700000,1719225599999,1684210.98333000,2929,7155.18500000,909933.09172000,0,1719225300000
2024-06-24 10:40:00,1719225600000,127.02,127.18,126.8,126.84,9149.63200000,1719225899999,1161407.67028000,4023,3962.80100000,503046.83942000,0,1719225600000
2024-06-24 10:45:00,1719225900000,126.84,127.03,126.37,126.37,8690.64900000,1719226199999,1101009.76808000,2533,4729.80300000,599307.99017000,0,1719225900000
2024-06-24 10:50:00,1719226200000,126.37,126.79,126.31,126.79,10275.24000000,1719226499999,1300837.25646000,2454,4337.22400000,549032.51466000,0,1719226200000
2024-06-24 10:55:00,1719226500000,126.78,127.2,126.74,126.85,12471.82100000,1719226799999,1584224.71789000,2648,7497.92500000,952478.30066000,0,1719226500000
2024-06-24 11:00:00,1719226800000,126.85,127.4,126.79,127.37,15113.22600000,1719227099999,1920760.48238000,2926,8486.81100000,1078537.82746000,0,1719226800000
2024-06-24 11:05:00,1719227100000,127.37,127.41,126.6,126.77,12933.14100000,1719227399999,1641137.12296000,3694,5772.70700000,732295.77414000,0,1719227100000
2024-06-24 11:10:00,1719227400000,126.78,126.82,126.46,126.61,10998.02000000,1719227699999,1393029.73153000,2202,4727.38400000,598757.98665000,0,1719227400000
2024-06-24 11:15:00,1719227700000,126.61,127.0,126.31,126.64,14273.01300000,1719227999999,1807494.81886000,2960,6691.62200000,847385.27255000,0,1719227700000
2024-06-24 11:20:00,1719228000000,126.65,126.78,126.3,126.38,14160.98800000,1719228299999,1790729.87927000,2617,7014.98800000,886971.43653000,0,1719228000000
2024-06-24 11:25:00,1719228300000,126.38,126.45,125.93,126.0,38880.95600000,1719228599999,4903032.92172000,3389,21535.60800000,2714929.76241000,0,1719228300000
2024-06-24 11:30:00,1719228600000,126.0,126.74,125.82,126.39,50326.51500000,1719228899999,6352178.95203000,4987,21883.02600000,2760446.02410000,0,1719228600000
2024-06-24 11:35:00,1719228900000,126.38,126.89,126.36,126.42,23056.90100000,1719229199999,2919691.58159000,3515,12408.43700000,1571351.41280000,0,1719228900000
2024-06-24 11:40:00,1719229200000,126.42,126.77,126.34,126.76,16519.45600000,1719229499999,2089993.38004000,2421,12086.98200000,1529099.05330000,0,1719229200000
2024-06-24 11:45:00,1719229500000,126.76,126.92,126.58,126.87,6491.78200000,1719229799999,823119.20624000,1744,3588.62500000,455025.42284000,0,1719229500000
2024-06-24 11:50:00,1719229800000,126.87,127.42,126.84,127.34,10840.96300000,1719230099999,1378567.07513000,2592,7306.98100000,929032.31430000,0,1719229800000
2024-06-24 11:55:00,1719230100000,127.34,127.48,127.04,127.07,9647.34800000,1719230399999,1227191.46551000,2219,3171.69900000,403706.90263000,0,1719230100000
2024-06-24 12:00:00,1719230400000,127.06,127.06,126.72,126.98,20133.65800000,1719230699999,2554452.74794000,3603,5545.36700000,703498.80648000,0,1719230400000
2024-06-24 12:05:00,1719230700000,126.97,127.78,126.97,127.52,23976.09300000,1719230999999,3056898.85908000,3727,15364.80800000,1958618.31672000,0,1719230700000
2024-06-24 12:10:00,1719231000000,127.52,128.0,127.44,127.98,10916.90400000,1719231299999,1394833.67763000,2036,5883.48400000,751836.59214000,0,1719231000000
2024-06-24 12:15:00,1719231300000,128.0,128.66,127.85,128.37,29529.86900000,1719231599999,3789128.42204000,4849,15269.87000000,1959273.44503000,0,1719231300000
2024-06-24 12:20:00,1719231600000,128.37,128.84,128.12,128.69,25993.71800000,1719231899999,3339765.31791000,3733,11437.93600000,1469975.02070000,0,1719231600000
2024-06-24 12:25:00,1719231900000,128.7,128.78,128.24,128.26,24849.33600000,1719232199999,3194136.32224000,3050,7754.75400000,996833.47265000,0,1719231900000
2024-06-24 12:30:00,1719232200000,128.26,128.45,128.03,128.28,19414.99500000,1719232499999,2489563.16093000,2768,8152.38200000,1045350.37036000,0,1719232200000
2024-06-24 12:35:00,1719232500000,128.28,128.29,127.66,127.69,19604.10700000,1719232799999,2507804.73544000,3127,6518.31400000,833607.65450000,0,1719232500000
2024-06-24 12:40:00,1719232800000,127.69,127.75,127.3,127.3,8733.28500000,1719233099999,1113894.55887000,1725,3156.65800000,402742.06541000,0,1719232800000
2024-06-24 12:45:00,1719233100000,127.3,127.69,127.3,127.52,8866.13900000,1719233399999,1130432.10313000,2080,6147.97400000,783894.30142000,0,1719233100000
2024-06-24 12:50:00,1719233400000,127.52,127.71,127.34,127.63,7556.46300000,1719233699999,964016.22954000,1730,2807.68800000,358181.40019000,0,1719233400000
2024-06-24 12:55:00,1719233700000,127.63,128.25,127.58,128.19,12269.42300000,1719233999999,1568488.63293000,1746,9209.79600000,1177102.28737000,0,1719233700000
2024-06-24 13:00:00,1719234000000,128.18,128.21,127.62,127.69,14885.34900000,1719234299999,1903580.59099000,2545,6709.91200000,858113.78194000,0,1719234000000
2024-06-24 13:05:00,1719234300000,127.7,127.82,127.32,127.36,7932.54200000,1719234599999,1012049.77256000,2545,2656.77400000,338982.54010000,0,1719234300000
2024-06-24 13:10:00,1719234600000,127.37,127.37,126.82,126.85,18392.00800000,1719234899999,2337620.60429000,3533,6707.71300000,852926.55435000,0,1719234600000
2024-06-24 13:15:00,1719234900000,126.86,126.97,126.4,126.41,23645.29200000,1719235199999,2996340.22572000,3322,13024.50000000,1650894.33538000,0,1719234900000
2024-06-24 13:20:00,1719235200000,126.41,127.2,126.27,127.09,25064.40400000,1719235499999,3175704.78297000,4019,12828.73300000,1625801.47973000,0,1719235200000
2024-06-24 13:25:00,1719235500000,127.09,127.52,126.92,127.46,12445.87600000,1719235799999,1583210.06313000,2419,8866.48400000,1127737.42418000,0,1719235500000
2024-06-24 13:30:00,1719235800000,127.46,128.49,127.29,128.32,31041.83500000,1719236099999,3966223.93511000,4055,16913.55400000,2161452.83596000,0,1719235800000
2024-06-24 13:35:00,1719236100000,128.31,128.79,128.26,128.74,17576.08100000,1719236399999,2257889.33158000,3503,8915.50300000,1145317.23135000,0,1719236100000
2024-06-24 13:40:00,1719236400000,128.74,128.8,128.37,128.53,13991.48000000,1719236699999,1799225.07718000,2815,7070.22900000,909212.39772000,0,1719236400000
2024-06-24 13:45:00,1719236700000,128.53,128.93,128.25,128.25,23938.63500000,1719236999999,3079346.60817000,4013,10191.49300000,1310798.13412000,0,1719236700000
2024-06-24 13:50:00,1719237000000,128.26,129.38,128.21,129.14,19424.95200000,1719237299999,2502936.17419000,4667,10854.52400000,1398514.61049000,0,1719237000000
2024-06-24 13:55:00,1719237300000,129.15,129.32,128.8,129.03,15293.35400000,1719237599999,1973630.96858000,2994,9527.73400000,1229573.03256000,0,1719237300000
2024-06-24 14:00:00,1719237600000,129.04,129.48,128.89,129.22,28198.70900000,1719237899999,3643319.63399000,4043,19711.84600000,2546933.26631000,0,1719237600000
2024-06-24 14:05:00,1719237900000,129.21,129.95,129.17,129.74,22607.60600000,1719238199999,2930408.59432000,3894,15242.40500000,1976032.50537000,0,1719237900000
2024-06-24 14:10:00,1719238200000,129.74,129.81,128.82,128.91,12893.87900000,1719238499999,1667799.90077000,3224,5764.59000000,745988.99417000,0,1719238200000
2024-06-24 14:15:00,1719238500000,128.92,129.06,128.48,128.73,11794.78900000,1719238799999,1518670.48208000,2811,6439.72000000,829264.27716000,0,1719238500000
2024-06-24 14:20:00,1719238800000,128.72,128.97,128.57,128.91,8684.77000000,1719239099999,1118516.33450000,2210,5335.02200000,687178.98054000,0,1719238800000
2024-06-24 14:25:00,1719239100000,128.91,129.0,128.35,128.5,13669.81700000,1719239399999,1757719.01590000,2585,8538.99800000,1097717.53537000,0,1719239100000
2024-06-24 14:30:00,1719239400000,128.5,128.96,128.4,128.84,13798.70700000,1719239699999,1775829.66566000,2863,6215.05200000,799943.82442000,0,1719239400000
2024-06-24 14:35:00,1719239700000,128.84,129.15,128.78,129.04,12249.13400000,1719239999999,1580471.48798000,3267,7344.90900000,947650.18945000,0,1719239700000
2024-06-24 14:40:00,1719240000000,129.04,129.11,128.12,128.16,11435.74100000,1719240299999,1470229.40530000,3101,5179.60300000,666290.10786000,0,1719240000000
2024-06-24 14:45:00,1719240300000,128.16,128.28,127.63,127.81,19820.41300000,1719240599999,2535485.61228000,4482,8827.81700000,1129114.68453000,0,1719240300000
2024-06-24 14:50:00,1719240600000,127.81,128.13,127.77,127.93,11737.25400000,1719240899999,1501599.83070000,2406,7067.21300000,904112.84842000,0,1719240600000
2024-06-24 14:55:00,1719240900000,127.93,128.79,127.67,128.56,16890.75800000,1719241199999,2166081.40073000,3373,10675.49600000,1369172.83472000,0,1719240900000
2024-06-24 15:00:00,1719241200000,128.57,128.67,128.36,128.61,12870.13000000,1719241499999,1654142.32617000,2704,5577.96500000,716934.67357000,0,1719241200000
2024-06-24 15:05:00,1719241500000,128.62,128.79,127.82,127.91,13528.89700000,1719241799999,1733676.24897000,3228,6851.06600000,877588.78587000,0,1719241500000
2024-06-24 15:10:00,1719241800000,127.9,128.2,127.73,128.08,9899.42200000,1719242099999,1266989.85058000,2513,5585.68900000,714953.07025000,0,1719241800000
2024-06-24 15:15:00,1719242100000,128.08,128.46,127.8,128.46,19445.03800000,1719242399999,2490330.35982000,3161,6359.87100000,814490.64443000,0,1719242100000
2024-06-24 15:20:00,1719242400000,128.47,128.55,128.0,128.03,13808.80500000,1719242699999,1773097.79060000,2695,5047.81600000,648250.06387000,0,1719242400000
2024-06-24 15:25:00,1719242700000,128.04,128.43,127.9,128.32,11143.89300000,1719242999999,1427551.12292000,2260,5064.56200000,648510.46939000,0,1719242700000
2024-06-24 15:30:00,1719243000000,128.33,128.39,127.88,128.02,10193.71500000,1719243299999,1305883.26200000,2375,4416.58200000,565657.57287000,0,1719243000000
2024-06-24 15:35:00,1719243300000,128.02,128.02,127.12,127.16,19331.65600000,1719243599999,2463391.64291000,3794,6279.45900000,800151.17222000,0,1719243300000
